Channel,Company Name,Role/Post Name,Salary,Location,Experience,Telegram Post URL,Telegram Apply Link (Original),Actual Apply Link,Link Source/Text,Final Company Application URL
@work4freshers,Info Edge,Telecalling (JobHai),₹2-3 LPA*,Noida,Not Mentioned,https://t.me/work4freshers/10664,https://job4freshers.co.in/info-edge-walk-in-tele-calling/,https://maps.app.goo.gl/Bsz4GW24MKN432KSA,(View on map),"https://www.google.com/maps/place/Info+Edge+India+Limited+C-10+office/@28.5909075,77.3121255,17z/data=!3m1!4b1!4m6!3m5!1s0x390ce52d60fad055:0x9a8715064a4078cf!8m2!3d28.5909028!4d77.3147004!16s%2Fg%2F11v3ypw4xm?entry=tts&g_ep=EgoyMDI2MDYyOS4wIPu8ASoASAFQAw%3D%3D&skid=aa99537d-3fdc-4c77-a461-5cf5009456d5"
@work4freshers,Unknown,Intern/ Trainee,Not Mentioned,Gurugram,Not Mentioned,https://t.me/work4freshers/10665,https://pwc.wd3.myworkdayjobs.com/Global_Experienced_Careers/job/Gurugram-8-B/Intern--Trainee_442620WD-1,https://pwc.wd3.myworkdayjobs.com/Global_Experienced_Careers/job/Gurugram-8-B/Intern--Trainee_442620WD-1,Direct Link,https://pwc.wd3.myworkdayjobs.com/Global_Experienced_Careers/job/Gurugram-8-B/Intern--Trainee_442620WD-1
@work4freshers,Kotak Mahindra Group,Relationship Officer,₹3- ₹3.5 LPA*,Bengaluru,Freshers,https://t.me/work4freshers/10666,https://job4freshers.co.in/kotak-mahindra-bank-walk-in-officer/,https://share.google/8RxHd9qqoUPuDvTPv,(View on map),"https://www.google.com/search?safe=active&sca_esv=3e2b86a70d6d9be2&rlz=1C1GCEA_enIN1205IN1205&kgmid=/g/1tdq4fxr&q=Kotak+Mahindra+Bank&shem=dlvs1&shndl=30&source=sh/x/loc/uni/m1/1&kgs=f47a2ed47755ad08&utm_source=dlvs1,sh/x/loc/uni/m1/1"
@work4freshers,Cognizant,Service Desk- Digital Workplace Practice,up to ₹4 LPA*,Across India,Not Mentioned,https://t.me/work4freshers/10667,https://job4freshers.co.in/cognizant-hiring-service-desk/,https://app.joinsuperset.com/join/#/signup/student/jobprofiles/a8af19f3-444e-43bd-8828-e8656f637a17,Click here to Apply,https://app.joinsuperset.com/join/#/signup/student/jobprofiles/a8af19f3-444e-43bd-8828-e8656f637a17
@work4freshers,Unknown,Data Science Intern,Not Mentioned,Multiple Locations,Not Mentioned,https://t.me/work4freshers/10670,https://apply.careers.microsoft.com/careers/job/1970393556917520?domain=microsoft.com&hl=en,https://apply.careers.microsoft.com/careers/job/1970393556917520?domain=microsoft.com&hl=en,Direct Link,https://apply.careers.microsoft.com/careers/job/1970393556917520?domain=microsoft.com&hl=en
@work4freshers,Lenskart,Sales Associate,"₹50,000-3  LPA*",Kochi,0 -5 Years,https://t.me/work4freshers/10671,https://job4freshers.co.in/lenskart-walk-in-sales-associate/,https://maps.app.goo.gl/EK3Q56Hhn2EJ3obr7?g_st=ic,View Map,"https://www.google.com/maps?q=Lenskart.com+at+Vazhakkala,+Kochi,+The+Smart+Centre,+Civil+Line+Rd,+Chembumukku,+Vazhakkala,+Kakkanad,+Kochi,+Kerala+682021,+India&ftid=0x3b080d047b6014e1:0xbddbb52e80e907ca&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,94218641,94282134,100813464,94286869&g_ep=CAISEjI2LjI3LjIuOTM5NTc4NzgwMBgBIIgnKkksOTQyOTc2OTksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsOTQyMTg2NDEsOTQyODIxMzQsMTAwODEzNDY0LDk0Mjg2ODY5QgJVUw%3D%3D&skid=e8639265-fe36-4a1d-b173-6b10298b0b89&g_st=ic"
@work4freshers,eClerx,Analyst,₹3.5 to ₹4.3 LPA*,Pune,0 – 1 Year,https://t.me/work4freshers/10675,https://job4freshers.co.in/eclerx-walk-in-hiring-analyst/,Direct Walk-in (No Link),Walk-in,Direct Walk-in (No Link)
@work4freshers,Amazon,Customer Support Role,₹3.75 LPA to ₹4.75 LPA*,Hyderabad,0 – 5 Years,https://t.me/work4freshers/10677,https://job4freshers.co.in/amazon-walk-in-support-role/,https://share.google/naTetl5lR1EgKMRhC,(View on map),"https://www.google.com/search?sca_esv=a34ddc620dd62935&rlz=1C1GCEA_enIN1158IN1158&sxsrf=APpeQnu9qg0qOVa7cRO-1uzScxuqareemQ:1782127739471&kgmid=/g/11gvs3crnn&q=Amazon+Development+Centre+India+Pvt.+Ltd.+(HYD20)&shem=epsd1,ltae,rimspwouoe&shndl=30&source=sh/x/loc/uni/m1/1&kgs=f5d6024609a1bc5d&utm_source=epsd1,ltae,rimspwouoe,sh/x/loc/uni/m1/1"
@work4freshers,Unknown,Systems Data Support Analyst,Not Mentioned,Bangalore,Not Mentioned,https://t.me/work4freshers/10678,https://careers.caterpillar.com/en/jobs/r0000378532/systems-data-support-analyst/,https://careers.caterpillar.com/en/jobs/r0000378532/systems-data-support-analyst/,Direct Link,https://careers.caterpillar.com/en/jobs/r0000378532/systems-data-support-analyst/
@work4freshers,Sutherland,International Voice Process,₹2.75- ₹4.5 LPA,"Thane, Navi Mumbai, Dombivli",0-2 Years,https://t.me/work4freshers/10679,https://job4freshers.co.in/sutherland-walk-in-voice-process/,https://jobs.smartrecruiters.com/ni/Sutherland/e06091d9-f4f6-488d-9e53-72064d6f1f72-walk-in-applicant?trid=584b8d10-d42a-4fab-8feb-c506f3c61a9d,Click here to Apply,https://jobs.smartrecruiters.com/ni/Sutherland/e06091d9-f4f6-488d-9e53-72064d6f1f72-walk-in-applicant?trid=584b8d10-d42a-4fab-8feb-c506f3c61a9d
